foto,strana,slogan,name,scenari,rezhisser,nameang,genre,dlina
,,,Индокитай (,,,,,
/storage/1183633_500x800x250.jpg,США,,Сага о женщинах-викингах и об их путешествии по водам Великого Змеиного Моря (,Лоуренс Л. Голдман,Роджер Кормэн,The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent,Ужасы, 71 мин.
/storage/235999_500x800x250.jpg,Франция,,Индокитай (,Эрик Орсенна,Режис Варнье,Indochine,Мелодрама, 153 мин.
,,,Страж (,,,,,
/storage/294878_500x800x250.jpg,США,,Страж (,Стивен Холк,Уильям Фридкин,The Guardian,Ужасы, 92 мин.
,,,По прозвищу «Танцор» (,,,,,
/storage/1687892_500x800x250.jpg,США,,По прозвищу «Танцор» (,Карла Жан Вагнер,Базз Кьюлик,Her Secret Life,Боевик, 94 мин.
/storage/1687294_500x800x250.jpg,Австралия,,Острие стрелы (,Джесси О’Брайэн,Джесси О’Брайэн,Arrowhead,Фантастика, 95 мин.
/storage/1640608_500x800x250.jpg,США,,Виктор Франкенштейн (,Макс Лэндис,Пол МакГиган,Victor Frankenstein,Ужасы, 109 мин.
/storage/1687716_500x800x250.jpg,Китай,,Кунг-фу Панда 3 (,Джонатан Айбел,Алессандро Карлони,Kung Fu Panda 3,Мультфильм, 95 мин.
/storage/1368407_500x800x250.jpg,Австралия,,Молодая кровь (,Джулиус Эйвери,Джулиус Эйвери,Son of a Gun,Боевик, 108 мин.
,,,Трамбо (,,,,,
/storage/1660069_500x800x250.jpg,США,,Трамбо (,Джон МакНамара,Джей Роач,Trumbo,Драма, 124 мин.
,,,Все мои американцы (,,,,,
/storage/1641673_500x800x250.jpg,США,,Все мои американцы (,Анджело Пиццо,Анджело Пиццо,My All American,Драма, 118 мин.
,,,Игра на понижение (,,,,,
/storage/1660071_500x800x250.jpg,США,,Игра на понижение (,Адам Маккей,Адам Маккей,The Big Short,Драма, 130 мин.
/storage/1686531_500x800x250.jpg,США,,Слабоумие (,Мередит Энн Берг,Майк Тестин,Dementia,Ужасы, 90 мин.
,,,"Не верю, я – робот?! (",,,,,
/storage/1686271_500x800x250.jpg,Израиль,,"Не верю, я – робот?! (",Liraz Brosh,Таль Гольдбер,"OMG, I'm a Robot!",Фантастика, 90 мин.
,,,Зачётный препод 2 (,,,,,
,,,Кэрол (,,,,,
/storage/1686273_500x800x250.jpg,Великобритания,,Кэрол (,Филлис Наги,Тодд Хайнс,Carol,Драма, 118 мин.
,,,Бруклин (,,,,,
/storage/1673637_500x800x250.jpg,Ирландия,,Бруклин (,Ник Хорнби,Джон Краули,Brooklyn,Драма, 111 мин.
