milo,name,telefon
 flametur@ukr.net,Агенство Флейм-Тур, +38044 599-70-79
 kontinental@meta.ua,"Агенство ""Континенталь""", (0572)758-26-68
 gulko_i@poehalisnami.com,Агенство ТА  Поехали с нами ( м. Черниговская и  м. Крещатик ),  044-233-14-72
 meteorit-tour@i.ua,"Агенство ТА ""МЕТЕОРИТ-ТУР""", 056-376-03-33
 basanets77@meta.ua,"Агенство ТК ""Поехали с нами!""", 0542 650-445
 alami.agent@com.ua,Агенство ALAMI туристическая компания, 380954065775
 ,Агенство ЮГ Тревел , +38-095-327-89-70
 valiza_tour@ukr.net,Агенство Червона Валіза, (03472) 6-29-95
 info@garanttravel.com.ua,Агенство Garant Travel, 044 221 58 47 
 unimaptravel@gmail.com,"Агенство Сеть Агенств Горящих Путевок ""Uni Maps Travel""", +38 067 240 90 65
 ditur@ukr.net,"Агенство Туристичне агенство ""Казкова подорож"" ", +380675966388
 info@steptour.com.ua,"Агенство Туристическое агентство ""Степ тур""", 095-132-77-88
 putevkizp@gmail.com,"Агенство ""Магазин Горящих Путевок г. Запорожье""", +38 061 707 11 60
 suzirya-tour1@i.ua,"Агенство АГП ""Сузір'я тур""", (044)220-25-77
 mandry.tur@gmail.com,"Агенство ТА""Мандры- Тур"" ", (0382)75-25-86
 restbest@i.ua,"Агенство ТА ""RESTBEST""", 095 329 09 15
 ,Агенство ООО ТК КРУГОСВЕТ, 095 736 7373
 tatyana_davydova@ukr.net,Агенство Life Travel, 717-72-91
 damaxtravel@gmail.com,Агенство Клуб Путешествий DAMAX, +380487117676
 bigcitytour@gmail.com,"Агенство Туристическая компания  ""Туры в большом городе""", 380504101246
 odessa02@joinup.com.ua,Агенство Join UP!, +38 (044) 303 9 303
 ,"Агенство ""Отдых на  все 100%""", 063-521-39-77
 sa@tpl.com.ua,Агенство Travel Professional Leisure (TPL), 044 362 6707
 tourmaster.kp@gmail.com,Агенство ТурМастер, 068 0362601
 yuliyafeliz@gmail.com,Агенство Feliz Travel, 
 bosfortour7@i.ua ,Агенство Босфор Тур, +380986376223
 ivanova_elena8@ukr.net,Агенство Coral Travel, +380685560888
 info@deluxevoyage.com.ua,Агенство Делюкс Вояж, (099)-944-10-00
 olimpiy@ukr.net,"Агенство Туристческая фирма ""ОЛИМПИЯ""", 0626 41-45-64
 sunny.tour@mail.ru,Агенство Sunny Tour, 050-456-46-46
 ekvator_tr@ukr.net,Агенство ЭКВАТОР, 0666025670
 info@pr-and-travel.com,Агенство Бюро Коммуникаций и Путешествий PR&TRAVEL®, 0362 400 612
 oyarena@gmail.com,"Агенство ООО ""БОСФОР""", 0352253727
 zayavkadesadmi@ukr.net  ,Агенство Турагентство Марии Драпатой, +38(0372) 55 07 09
 olegkucheruk@gmail.com,"Агенство "" Туристическая Компания  ""Стартревел"" ", +380674112664
 sakmatur@ukr.net,Агенство САКМА, (067) 4959895
 zanzibar-tourism@mail.ru,Агенство Туристична агенція Занзібар, 067-362-08-13
 info@yantour.com.ua,Агенство Туроператор Янтур, +38 044 355 15 00
 ira-ori-spo@ukr.net,Агенство Гарячі тури, 0937367776
 kraj.zapros@gmail.ocm,Агенство КРАЙ ВІДПОЧИНКУ, +380352220467
 tkguliver-tour@i.ua,"Агенство ТОВ ""Туристична компанія ""Гулівер-тур""", 0673504550
 calipso1000000s@gmail.com,Агенство Kalipso Adventures, 095 731 55 00
 olga.n@poehalisnami.com,"Агенство ""Поехали с нами""", (066)431-44-34
 228.1@kiev.tui.ua,Агенство TUI Citicom (ТОВ Моресіль), 044 2276965
 ariar-tour@mail.ru,Агенство Ариар-тур, 044-568-44-08
 tour@marlena.ua,Агенство МарЛенА, 5028787
 going2go.agency@gmail.com,Агенство Going to Go, +38 044 361 52 69
 sales1@poehalisnami.com,Агенство Поехали с нами, 044 500 03 50
 ksenia.keytour@gmail.com,Агенство КейТур, (044) 332 92 97
 office@chernobyl-tour.com,Агенство ЧЕРНОБЫЛЬ ТУР®, +38 044 383-45-88
 iryna7chepurko@gmail.com,"Агенство ООО ""ВСЕМ ТУРИСТАМ""", 0445700059
 245@kiev.tui.ua,Агенство TUI Турагенція, 044-485-84-84
 booking@tyche.com.ua,Агенство Tyche Tours, +38 (044) 383-27-20
 ask@artandtravel.com.ua,Агенство ArtTravel, 044 570 26 26
 reference@albiz.kiev.ua,Агенство Албиз-тур, 0445274737
 info@familytravel.com.ua,Агенство Фемелитревел, (044)-459-7775
 57.1@kiev.tui.ua,Агенство Tui - турагентство, (044)3601803
 mail@mtravelcard.ua,Агенство Тревел Кард , 594 51 60 
 etalontravel@ukr.net,Агенство Эталон-Тревел Туристическая Компания, 0443387817
 11111@i.ua,Агенство КЛУБ ОРГАНИЗАЦИИ ТУРОВ, (044) 2214333
 natalitravel@email.ua,Агенство Натали Тревел, 0443385997
 vostrikova.elena@mail.ru,Агенство 100 ДОРОГ, +380509261089
 manager@travelhit.com.ua,Агенство Тревел Хит, 044 229 88 71
 info@freshua.com,Агенство Fresh.Travel, +38 044 338 29 80
 otdixaysnami@ukr.net,"Агенство Туристическое агентство""Отдыхай с нами""", (063) 750-68-32
 nd@you-travel.com.ua,"Агенство ООО ""Ю Тревел""", +380443324182
 ,"Агенство ооо ""Плеяды-Тур"" ", 044-592-36-11; 592-36-10
 office@aurora.in.ua,Агенство Aurora Travel, 0442272515
 ,Агенство Горящие туры Квадрат, 044 377 52 72 
 katren_tour@mail.ru,Агенство КАТРЕН-ТУР, (0472)38-38-66
 ira@attravel.com.ua,Агенство Ателье Путешествий, 044 486 28 38
 n.hottur@gmail.com,Агенство Low-Cost Tours - Горящие Туры, (044) 578-26-16
 blisstour@ukr.net,"Агенство АГП ""BLISSTOUR""", +380443624304
 office@estandart.kiev.ua,"Агенство Агентство Горящих Путевок ""Туристическая компания ""ЕвроСтандарт""", 0504620429
 zaplatiandleti@gmail.com,Агенство Заплати и лети , +380 67 506 9992
 htkiev@yandex.ru,"Агенство Туристическое Агентство ""Горящие туры Квадрат""", +38(067)2448833
 info@ptv.com.ua,"Агенство ""Путеводитель""", (044)221-98-97
 arrivatour@mail.ru,Агенство Аррива, (044)383-75-50
 strana-chudes@ukr.net,"Агенство ООО ""Клуб путешествий ""Страна чудес""", 063
 info@grandetour.com.ua,Агенство ГРАНДЕ ТУР, 0443620845
 274.5@kiev.tui.ua,Агенство TUI Турагенство (ФЛП Касьянова О.В.), 068 461 79 45
 chaykau@gmail.com,Агенство Турагенство ЧАЙКА, 044-501-02-06
 info@sun-line.kiev.ua,Агенство Sun Line, 044 503 56 57
 travel@restpro.com.ua,Агенство Отдыхайте Правильно, (044) 499-32-32
 stellar777@mail.ua,Агенство STELLAR, 0995229895
 a.stotckaya@yandex.ru,"Агенство Туристическая компания ""Регион Люкс""", +380984085421
 info@zabugor.com.ua,Агенство ZABUGOR.COM Luxury Travel Club, +38 (044) 54 54 555
 2847996@gmail.com,Агенство I LIKE TRAVEL, 380979026679
 ,Агенство ЛИК-ТУР, +380444238316
 tour@snt.in.ua,Агенство S&T Tour , 0445992628
 info@4gates.com.ua,Агенство 4Gates Ukraine, +380443378401
 ulechu1@ukr.net,"Агенство ООО ""Улечу, куда хочу!""", +380675515024
 otdohni-ka@ukr.net,Агенство ОТДОХНИ-КА!, 
 aventur_zp@mail.ru,Агенство Авентур , 067-3362492
 europeplus@mail.ru ,Агенство ЕВРОПА ПЛЮС, тел.р 0372575794
 travel@lana.ua,Агенство Лана Тревел, 044-288-40-42
 miracentr@mail.ru,Агенство Агентство МИРА, 097-544-12-20
 ,"Агенство Туристическое агенство ""АРБУЗ""", 050 374 50 03
 request@navis.com.ua,Агенство Нàвис-Тур, (044)4868580
 iren.pl@mail.ru,Агенство Мер-Ха-Ба, 0983535777
 desadmi@desadmi.com,Агенство Десадми, +38(0372) 55 07 09
 ,Агенство Поехали с нами, 044 223 50 53
 dndz-avia@aviatour.dp.ua,"Агенство ООО ""Авиатур""", 056 9277334
 maxaon.dz@mail.ru,"Агенство Туристическое агентство ""Махаон""", (05692)3-16-52
 turtujur@gmail.com,"Агенство ООО ""Туртужур""", (044)234 70 17
 wonder@wonderworld.com.ua,Агенство Мир Чудес / Wonder World, +38 (044) 383 71 92
 travel@leega-k.com.ua,"Агенство TA ""LEEGA TRAVEL""", +380443311339
 mvp@arkadiya.kiev.ua,Агенство Аркадия 2008, +380442294388
 info@imaginetravel.com.ua,Агенство Imagine Travel, (044) 248 00 48
 23.1@kiev.tui.ua,"Агенство ""TUI""-Житомир", +380412413909
 office@orangetime.com.ua,Агенство Orange Time, +38 (044) 227 00 19
 andriy@apollotour.kiev.ua,Агенство Аполло-тур, +38 044 234 11 25
 gr-tur@mail.ua,Агенство Travel Professional Agency (ФОП Радзивил И.А), 098 072 00 33
 svitpodorogey@bigmir.net,"Агенство ТА ""Світ Подорожей!""", 227 11 36
 info@gortury.com.ua,Агенство АГЕНЦИЯ ГОРячие ТУРЫ, 095-226-99-07
 Fiji-Tour@ukr.net ,"Агенство Частное предприятие""Туристическое агентство""ФИДЖИ""", 097-459-33-34
 sungate@ukr.net,Агенство Сангейт Тур, +380932914755
 cebistravel@gmail.com,"Агенство Центр делового туризма ""Евразия Экспо""", 044 524 35 96
 tur-colibrys@ukr.net,Агенство Колибрис 4, /044/407-10-07
  tourofis@ukr.net,Агенство TPG AGENCY ,  (044) 331-12-72(77)
 feerie.nizhyn@gmail.com,Агенство Феєрія мандрів, 0671371073
 hottours.mirgorod@ukr.net,Агенство TPG AGENCY МИРГОРОД, 5-08-18
 303@kiev.tui.ua,Агенство TUI Obukhiv, +38(068)518-18-18
 otdvkus@i.ua,"Агенство ""Отдых со вкусом""", +380990026021
 Dashiki-li@mail.ru,"Агенство ТА ""Свет-Тур""", (0536) 74-16-16
 lenchik-tour@yandex.ru,Агенство Туристическое агенство ELENA, +380633627885
 plv_84@mail.ru,Агенство PanTravel, +380675517200
 mixtravel@i.ua,"Агенство ТА ""МІКС ТРЕВЕЛ""/ ФОП Андрощук О.В.", 0955744095
 tolikk1974@bigmir.net,Агенство Golden Beach, +380955595990
 globus.hot@gmail.com,Агенство Глобус-Сервис, 0324450090
 artemovskhottours@ukr.net,Агенство TOURS&TICKETS Артемовск, 099-472-23-13
 nlo67@mail.ru,Агенство АГП Гранд тур, +380506461036
 dir@navkolosvity.com.ua,"Агенство Туристична фірма ""Навколо Світу""", +380982455524
" office,reantravel@gmail.com",Агенство Ren Travel, 093 857 22 37
 bc@poehalisnami.com,Агенство Поїхали з нами, (04563) 5-11-49
 volna200607@mail.ru,Агенство ВОЛНА, 0978670911
 tour2@vanatour.com.ua,Агенство Ванатур, (0472)50-29-92
 vstraveling@gmail.com,"Агенство Travel Start, туристична агенція", +380509502888
