milo,adresss,name,telefon
 damaxtravel@gmail.com,"

Одесса, Приморский",Агенство Клуб Путешествий DAMAX, +380487117676
 kontinental@meta.ua,"

Харьков, ЮЖД","Агенство ""Континенталь""", (0572)758-26-68
 flametur@ukr.net,"

Киев, Льва Толстого",Агенство Флейм-Тур, +38044 599-70-79
 info@garanttravel.com.ua,"

Киев, Васильковская",Агенство Garant Travel, 044 221 58 47 
 valiza_tour@ukr.net,"

Калуш, Івано-Франківська обл",Агенство Червона Валіза, (03472) 6-29-95
 unimaptravel@gmail.com,"

Киев, Святошино","Агенство Сеть Агенств Горящих Путевок ""Uni Maps Travel""", +38 067 240 90 65
 gulko_i@poehalisnami.com,"

Киев, Черниговская",Агенство ТА  Поехали с нами ( м. Черниговская и  м. Крещатик ),  044-233-14-72
 meteorit-tour@i.ua,"

Днепропетровск, Бабушкинский","Агенство ТА ""МЕТЕОРИТ-ТУР""", 056-376-03-33
 basanets77@meta.ua,"

Сумы, ","Агенство ТК ""Поехали с нами!""", 0542 650-445
 alami.agent@com.ua,"

Чернигов, ",Агенство ALAMI туристическая компания, 380954065775
 ,"

Одесса, ",Агенство ЮГ Тревел , +38-095-327-89-70
 ditur@ukr.net,"

Здолбунов, Ровенская обл.","Агенство Туристичне агенство ""Казкова подорож"" ", +380675966388
 info@steptour.com.ua,"

Киев, Позняки","Агенство Туристическое агентство ""Степ тур""", 095-132-77-88
 putevkizp@gmail.com,"

Запорожье, Орджоникидзевский","Агенство ""Магазин Горящих Путевок г. Запорожье""", +38 061 707 11 60
 suzirya-tour1@i.ua,"

Киев, Позняки","Агенство АГП ""Сузір'я тур""", (044)220-25-77
 mandry.tur@gmail.com,"

Хмельницкий, ","Агенство ТА""Мандры- Тур"" ", (0382)75-25-86
 bigcitytour@gmail.com,"

Харьков, исторический музей","Агенство Туристическая компания  ""Туры в большом городе""", 380504101246
 restbest@i.ua,"

Ирпень, Киевская область , ","Агенство ТА ""RESTBEST""", 095 329 09 15
 ,"

Николаев, ",Агенство ООО ТК КРУГОСВЕТ, 095 736 7373
 tatyana_davydova@ukr.net,"

Харьков, Спортивная, Гагарина",Агенство Life Travel, 717-72-91
